study,stratum,design,indication,molecule,comparator,outcome_std,N_exposed,N_comparator,events_exp,events_ctrl,effect_type,effect_est,ci_low,ci_high,extraction,poolable,pmid,doi,journal,note
Depression and Anxiety Among Individuals Receiving Incretin Mimetic Medications: A Sa,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,non_poolable,no,42072949.0,10.3390/healthcare14081049,Healthcare (Basel),Saudi cross-sectional survey; no adjusted GLP-1 vs comparator ratio
Association of glucagon-like peptide-1 receptor agonists with suicidal ideation and s,observational,cohort,obesity,semaglutide/liraglutide,non-GLP1,suicidal ideation,,,,,HR,1.04,0.35,3.14,adjusted (abstract/FT),yes,39103719.0,10.1007/s00125-024-06243-z,Diabetologia,"wide CI, small events"
Risk of Psychiatric Worsening With GLP-1 Receptor Agonist Use in Patients With Type 2,observational,cohort,T2D,GLP-1 RA class,SGLT2i,suicidality (composite),,,,,HR,0.88,0.74,1.05,adjusted (abstract/FT),yes,42209408.0,10.1111/dom.70927,Diabetes Obes Metab,
Glucagon-Like Peptide-1 Use and Healthcare Resource Utilization for Depression and An,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,not extracted,no,40439835.0,10.1007/s11414-025-09950-6,J Behav Health Serv Res,
Association of GLP-1 receptor agonist use with psychiatric outcomes in adults with ty,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,extractable_fulltext,no,41386528.0,10.1016/j.diabres.2025.113038,Diabetes Res Clin Pract,DRCP target-trial emulation; 'not associated...modest anxiety assoc'; HRs in FT
GLP-1 Receptor Agonist Use and Risk of Suicide Death.,observational,cohort,T2D,GLP-1 RA class,SGLT2i,completed suicide,,,,,HR,1.25,0.83,1.88,adjusted (abstract/FT),yes,39226030.0,10.1001/jamainternmed.2024.4369,JAMA Intern Med,suicide death; null
"Glucagon-like peptide-1 receptor agonists and reduced mortality, cardiovascular and p",observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,not extracted,no,40897378.0,10.1093/bjd/ljaf346,Br J Dermatol,
Repurposing Semaglutide and Liraglutide for Alcohol Use Disorder.,observational,self-controlled,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,not extracted,no,39535805.0,10.1001/jamapsychiatry.2024.3599,JAMA Psychiatry,
Retrospective chart review on psychiatric manifestations of GLP-1 agonist usage.,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,non_poolable,no,41616750.0,10.1016/j.jpsychires.2026.01.042,J Psychiatr Res,"chart review, descriptive; no comparator ratio"
12-month neurological and psychiatric outcomes of semaglutide use for type 2 diabetes,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,not extracted,no,39764175.0,10.1016/j.eclinm.2024.102726,EClinicalMedicine,
Glucagon-Like Peptide-1 Receptor Agonists and Risk for Suicidal Ideation and Behavior,observational,cohort,T2D,GLP-1 RA class,SGLT2i/DPP-4i,suicidal ideation,,,,,HR,1.02,0.85,1.22,adjusted (abstract/FT),yes,39008852.0,10.7326/M24-0329,Ann Intern Med,FT approx; direction null (Medicare older adults)
Exploratory associations between co-occurring opioid and alcohol use disorders and GI,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,not extracted,no,42265341.0,10.1038/s43856-026-01685-5,Commun Med (Lond),
"Association between tirzepatide use and risk of mortality, hospitalization, and suici",observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,not extracted,no,41389474.0,10.1016/j.euroneuro.2025.11.016,Eur Neuropsychopharmacol,
Glucagon-like peptide-1 receptor agonists and risk of substance use disorders among U,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,extractable_fulltext,no,41781010.0,10.1136/bmj-2025-086886,BMJ,BMJ veterans substance use; HRs in FT/tables
Glucagon-like peptide receptor agonists and risk for depression.,observational,cohort,T2D,GLP-1 RA class,DPP-4i,depression,,,,,RR,1.02,0.97,1.07,adjusted (abstract/FT),yes,38852027.0,10.1016/j.pcd.2024.05.005,Prim Care Diabetes,
Depression following the initiation of glucagon-like-peptide-1 receptor agonist thera,observational,self-controlled,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,extractable_fulltext,no,41988822.0,10.1111/joim.70098,J Intern Med,J Intern Med self-controlled; depression after initiation; IRR in FT
Glucagon-like peptide-1 receptor agonists and risk of suicidality among patients with,observational,cohort,T2D,GLP-1 RA class,DPP-4i,suicidality (composite),,,,,HR,1.02,0.85,1.23,adjusted (abstract/FT),yes,40010803.0,10.1136/bmj-2024-080679,BMJ,ADJUSTED (crude 2.08 attenuated to null)
Decreased Risk of Anxiety in Diabetic Patients Receiving Glucagon-like Peptide-1 Rece,observational,cohort,T2D,dulaglutide,non-users,anxiety,,,,,HR,0.41,0.27,0.61,adjusted (abstract/FT),yes,35281896.0,10.3389/fphar.2022.765446,Front Pharmacol,
"Cross-sectional, case-control and longitudinal associations between exposure to gluca",observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,not extracted,no,38650544.0,10.1111/dom.15616,Diabetes Obes Metab,
Association of tirzepatide and the risk of suicide in a real-world cohort.,observational,cohort,obesity+T2D,tirzepatide,non-users,suicide attempt/self-harm,,,,,aHR,0.52,0.28,0.91,adjusted (abstract/FT),yes,41334076.0,10.3389/fpsyt.2025.1626103,Front Psychiatry,
"Feasibility, Adherence and Efficacy of Liraglutide Treatment in a Sample of Individua",observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,non_poolable,no,30728788.0,10.3389/fpsyt.2018.00784,Front Psychiatry,Front Psychiatry single-arm feasibility; no comparator
Mental health changes after 4&#x2009;months of weight loss treatment with the glucago,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,non_poolable,no,41491619.0,10.1111/dom.70393,Diabetes Obes Metab,"DOM single-arm; continuous anxiety score change, no exposure ratio"
Glucagon-Like Peptide-1 Receptor Agonists and Risk of Mental Health Disorders in Type,observational,cohort,,,SGLT2i,depression,,,,,HR,1.2,1.09,1.31,extractable_fulltext,yes,42380063.0,10.1111/dom.70985,Diabetes Obes Metab,"DOM; mental health disorders vs SGLT2i/DPP4i; HR 1.0[0.83,1.2] caught earlier actually | RECLASSIFIED poolable in verification audit 2026-07"
Comparison of Effects of Glucagon-Like Peptide-1 Receptor Agonists Compared to Long-A,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,non_poolable,no,40124098.0,10.2147/DMSO.S502475,Diabetes Metab Syndr Obes,"descriptive comparison, no neuropsych ratio in abstract"
Association of semaglutide with risk of suicidal ideation in a real-world cohort.,observational,cohort,obesity+T2D,semaglutide,non-GLP1 AOM/AHA,suicidal ideation,,,,,HR,0.44,0.32,0.6,adjusted (abstract/FT),yes,38182782.0,10.1038/s41591-023-02672-2,Nat Med,
Glucagon-like peptide-1 receptor agonists and suicide risk in individuals with diabet,observational,cohort,T2D,GLP-1 RA class,unexposed,suicide attempt/self-harm,,,,,aHR,0.63,0.47,0.85,adjusted (abstract/FT),yes,41050856.0,10.1016/j.pmedr.2025.103244,Prev Med Rep,
Neuropsychiatric association of tirzepatide and semaglutide in obesity with and witho,observational,cohort,obesity+T2D,semaglutide,naltrexone-bupropion,anxiety,,,,,HR,0.67,0.51,0.87,adjusted (abstract/FT),yes,42373755.0,10.1038/s43856-026-01750-z,Commun Med (Lond),
Effect of Exenatide Use on Cognitive and Affective Functioning in Obese Patients With,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,non_poolable,no,34016830.0,10.1097/JCP.0000000000001409,J Clin Psychopharmacol,"small cross-sectional; PHQ-9/GAD-7 scale scores, no ratio"
Comparative safety of glucose-lowering medications on depression in adults with type ,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,non_poolable,no,41479367.0,10.1111/dom.70415,Diabetes Obes Metab,"DOM; reports risk DIFFERENCE (RD%), not a ratio; different scale"
